image,caption
1015712668.jpg, Man in a red shirt riding his bicycle around water .
1015712668.jpg, A man in a red shirt rides his bicycle .
10160966.jpg, A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup .
10160966.jpg, A guy in shorts and a white t-shirt sits on the ground in front of a grill with hotdogs on it .
10160966.jpg, A young man in sunglasses holds a blue cup next to a grill with sausages .
10160966.jpg," A young man , wearing a white shirt , prepares hotdogs on a small grill ."
10160966.jpg, A man is holding his cup while he grills hotdogs .
101958970.jpg, A man and a little girl happily posing in front of their cart in a supermarket .
101958970.jpg, A man sitting with his daughter in his daughter 's pink car in a grocery store .
101958970.jpg, A man is sitting on a pink cart with a little girl in the grocery store .
101958970.jpg, A man with his daughter sitting on a stroller in a supermarket .
101958970.jpg, The little girl and the man are smiling .
1021442086.jpg," A bearded man wearing glasses , a red shirt , and a hat is reading a map while sitting in a car ."
1021442086.jpg, A bearded traveler in a red shirt sitting in a car and reading a map .
1021442086.jpg, A man wearing a baseball cap is sitting in a car looking at a map .
1021442086.jpg, a man in a red t-shirt is sitting in a car looking at a map .
1021442086.jpg, A man trying to decipher a map .
102617084.jpg," Five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat ."
102617084.jpg," Five people wearing winter jackets and helmets stand in the snow , with snowmobiles in the background ."
102617084.jpg," Five people wearing winter clothing , helmets , and ski goggles stand outside in the snow ."
102617084.jpg, A group of snowmobile riders gather in the snow .
102617084.jpg, Group gathered to go snowmobiling .
1029737941.jpg, Boy in brown shirt with headphones on sits on woman 's shoulders in a crowd .
1029737941.jpg, A kid wearing headphones sits on his mom 's shoulders while in a crowd .
1029737941.jpg, A boy with headphones on sitting on top of a woman 's shoulders .
1029737941.jpg, A child with headphones riding on his mother 's shoulders .
1029737941.jpg, A boy wearing headphones sits on a woman 's shoulders .
102998070.jpg," A young man in a blue sweater cleaning fish while three other men watch , one a man a cigarette , or match in his month ."
102998070.jpg, Three older men stare into the pan of a street vendor who is cooking fish .
102998070.jpg, Three old men are watching another man prepare fish .
102998070.jpg, A fish sellers stock is looked upon by two old men .
102998070.jpg, Three men watch as fish is being prepared .
1031973097.jpg, A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio .
1031973097.jpg, A young child wearing a blue shirt and red hat grabs onto black bars in front of him .
1031973097.jpg," The little boy looks like he is saying , let me out of jail ."
1031973097.jpg, Toddler boy in a red hat holding on to some railings .
1031973097.jpg, Little boy wanting to play outside of fence .
1032460886.jpg, There is a skyscraper in the distance with a man walking in front of the camera .
1032460886.jpg, Behind the man in a red shirt stands a large skyscraper .
1032460886.jpg, A man stands in front of a very tall building .
1032460886.jpg, a man is standing in front of a skyscraper
1032460886.jpg, A man stands in front of a skyscraper .
103328091.jpg, A Asian male wearing a red shirt is sitting next to a grocery stand selling fruits .
103328091.jpg, man in red shirt is sitting next to fruit that is for sale .
103328091.jpg, A man in a red shirt is sitting by fruit for sale .
103328091.jpg, A man in a red shirt sits next to a fruit stand .
103328091.jpg, An oriental man selling produce .
103631543.jpg, A Caucasian young woman in a white hooded sweatshirt sits at a table set for two in a lowly lit restaurant .
103631543.jpg, A woman in a white shirt is sitting at a table in a nice restaurant .
103631543.jpg, A young woman sits at a dinner table with two entrees and a martini .
103631543.jpg, A dark-haired young woman hesitates before dining .
103631543.jpg, Woman having a fancy dinner .
104285082.jpg, A man with glasses is sitting a chair playing the oboe while a man in a purple shirt plays percussion and spectators look on .
104285082.jpg, An older man with gray hair is sitting in a chair playing a large instrument made of bamboo .
104285082.jpg, Gray-haired man in dress shirt plays the bassoon while reading sheet music from a stand
104285082.jpg, A gray-haired man sitting in a chair playing a wind instrument among other musicians .
104285082.jpg, A man playing a musical instrument .
104763189.jpg, A shirtless young boy on a bicycle too big for him being supported by 3 other young shirtless boys in a grass field .
104763189.jpg, Four children are smiling as they pose together with a bicycle that is much too big for them .
104763189.jpg, An African American child is supported by his three peers while riding his bicycle .
104763189.jpg, Four children are smiling and playing on a bike
104763189.jpg, Boys all outside around a big bike .
105335409.jpg, Man talking on a microphone and a crowd of people in front of him .
105335409.jpg, A trolley driver is telling people to move off of the street .
105335409.jpg, A mass transit person making an announcement .
105335409.jpg, A driver communicating on his walkie talkie .
105335409.jpg, a man in a vehicle behind a family crowd
1055753357.jpg, Two construction workers are sitting up on the side of a building .
1055753357.jpg, Two constructions workers sit on a beam taking a break .
1055753357.jpg, Two construction workers take a seat on a steel beam .
1055753357.jpg, Two construction workers sitting on an I-beam .
1055753357.jpg, Two men take a break from construction .
1056415186.jpg," Two Asian girls laughing , as the girl on the right holds an instrument ."
1056415186.jpg, Two women are sitting and talking and laughing together .
1056415186.jpg, 2 girls in metal chairs are laughing together .
1056415186.jpg, Two women laugh while sitting on the floor .
1056415186.jpg, Two asian women smiling and laughing .
1057251835.jpg, A white dog is running down a rocky beach .
1057251835.jpg, Light brown dog running along the beach .
1057251835.jpg, A light-colored dog runs on the beach .
1057251835.jpg, A small yellow dog runs on a beach
1057251835.jpg, A tan dog runs on a sandy beach .
106027978.jpg, Pink shirted woman sleeping in a car with blue and white blanket on her .
106027978.jpg, A woman in a pink shirt wrapped up in a blue blanket asleep in a car .
106027978.jpg, A woman in a red shirt is under a blanket and sleeping in a vehicle .
106027978.jpg, A lady with brown hair in a pink shirt sleeping in a car .
106027978.jpg, A woman sleeps under a blue and white blanket in a car .
107532584.jpg, A young man is walking through a busy street beside a mall .
107532584.jpg, Woman in a pink hat walking with a man in a gray sweater .
107532584.jpg, An Asian couple walks in the shopping district .
107532584.jpg, A woman in a pink hat strolls along sidewalk .
107532584.jpg, Several people are walking around outside .
1075716537.jpg, A little boy rides a bike down a hill on a miniature dirt bike .
1075716537.jpg, A young boy in a helmet rides a bike on the road .
1075716537.jpg, A child with a helmet on his head rides a bike .
1075716537.jpg, The young boy pedals quickly at a BMX race .
1075716537.jpg, The little boy rides his bicycle in a race .
1076503761.jpg, A girl with blond-hair is holding a bottle and wearing a blue and green floral bikini on a boat .
1076503761.jpg, A young woman in a bikini holding a bottle is goofing around and kicking a man in a straw hat .
1076503761.jpg, A young woman on a boat in a light colored bikini kicks a man wearing a straw cowboy hat .
1076503761.jpg, Teenagers are partying on a boat while a blond teenager is kicking a man .
1076503761.jpg, A group of students during spring brake .
107969134.jpg, A mother decides to take her child on a piggyback ride outside their apartment complex .
107969134.jpg, A baby boy in a blue and white striped shirt is sitting on his mother 's shoulders .
107969134.jpg, A mother and her young song enjoying a beautiful day outside .
107969134.jpg, a young woman is giving a baby a ride on her shoulders .
107969134.jpg, A woman gives a small child a piggyback ride .
1082379191.jpg, A man and woman sitting on a deck next to a lake .
1082379191.jpg, A man and a woman are sitting on a dock together .
1082379191.jpg, A shirtless man and a woman sitting on a dock .
1082379191.jpg, A lady and a man with no shirt sit on a dock .
1082379191.jpg, A man and a woman sitting on a dock .
1084104085.jpg, a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .
1084104085.jpg, A woman in blue shorts and a white shirt is indoor rock climbing .
1084104085.jpg," The girl is in a harness , climbing rocks ."
1084104085.jpg, Woman climbing an artificial rock wall .
1084104085.jpg, The girl is climbing a rock wall .
1088767354.jpg, The girl in the salmon colored bikini is standing next to two young people ; one is wearing a black outfit and the other is drinking pop .
1088767354.jpg, Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress .
1088767354.jpg, A woman wearing a red costume looks at two other people standing on a street .
1088767354.jpg, A young woman in a red sequined costume and feather stands on the sidewalk .
1088767354.jpg, A woman in a red costume to the left of a man and woman standing together .
108898978.jpg, Two people wearing yellow jackets crosscountry skiing .
108898978.jpg, Two skiers are making their way through woodland .
108898978.jpg, Two skiers are sliding down a trail in the woods .
108898978.jpg, Two men are skiing in the snow in a wooded area .
108898978.jpg, Skiiers walking up the hill through a forest .
108899015.jpg, A lone skier is making their way up a mountain .
108899015.jpg, Skiiers at the top of a snow covered hill .
108899015.jpg, Two people are on a snow-covered mountain .
108899015.jpg, Two people climbing up a snowy mountain .
108899015.jpg, Two hikers climbing a snowy hill .
1089354362.jpg," A girl sitting on the steps of a building wearing a green short-sleeve shirt , blue jeans , flip-flops holding a cup and writing in a journal with her purse sitting at her feet ."
1089354362.jpg," A woman in a green shirt and jeans kneels on a stoop with coffee in hand , her purse beside her and a large door behind her , as she fills out paperwork ."
1089354362.jpg," A woman is sitting on the steps in front of a large black door , writing in a notebook ."
1089354362.jpg," A woman sitting down on steps , writing something down with a door behind her ."
1089354362.jpg, A girl holding a coffee cup is writing outside .
108970557.jpg, Woman sitting in a red chair with a dressy purple dress on and a book sitting on the arm rest .
108970557.jpg, A woman dressed in light purple and wearing a corsage clasps her hands in her lap .
108970557.jpg, A woman in lavender with short brown hair is sitting in a large chair .
108970557.jpg, The women is wearing formal clothing while sitting .
108970557.jpg, A short-haired woman is sitting down .
109260218.jpg, Spelunkers pose inside a rock cavern while bathed in sunlight from the surface .
109260218.jpg, Shaft of light in a cave shows three spelunkers
109260218.jpg, Three rock climbers are posing on big rocks .
109260218.jpg, People stand inside a rock dome .
109260218.jpg, three people sit in a cave .
1093737381.jpg, A woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk .
1093737381.jpg, A woman in a blue dress stands with a chalk portrait of two children playing by a stream .
1093737381.jpg, A woman stands next to a chalk drawing in front of a barn-like structure .
1093737381.jpg, A woman stands outside near an elaborate chalk illustration .
1093737381.jpg, A woman standing in front of a chalk drawing
109380144.jpg," Three young adults are sitting around , with the girl pretending to kick one of the guys in the face while laughing , and the guy behind him looks like he 's in midsentence ."
109380144.jpg, A man wearing an Illinois t-shirt is looking at a camera while a girl is aiming her foot at his face and another man is making an odd face in the background .
109380144.jpg," A man sitting on the ground is playfully kicked by a young woman , while a man in the back observes ."
109380144.jpg, A girl playfully kicks a guy in the face while another person makes faces .
109380144.jpg, A girl sitting down puts her shoe up to a guy 's face .
1094462889.jpg, A brown dog plays in a deep pile of snow .
1094462889.jpg, A tan dog stand in the snow and looks up .
1094462889.jpg, A dog looking at the camera in snow .
1094462889.jpg, The brown dog is out in the snow .
1094462889.jpg, a dog runs through the snow .
1095109931.jpg, A woman smiles while holding several green peppers at a grocery stand .
1095109931.jpg, A young woman holds a red and green pepper at a vegetable stand .
1095109931.jpg, A girl working at a farm market selling peppers .
1095109931.jpg, A woman smiles as she holds some bell peppers .
1095109931.jpg, Woman with a tank top buying green peppers .
1095590286.jpg, A yellow dog and a black and white dog are running in the dirt .
1095590286.jpg, A blond dog and a black and white dog run in a dirt field .
1095590286.jpg, Two dogs are running in a field .
1095590286.jpg, a dog chases another dog .
1095590286.jpg, two dogs running around
109656696.jpg, A girl in a polka dotted blue jean dress walks barefoot on a balance beam .
109656696.jpg, A girl in a jean dress is walking along a raised balance beam .
109656696.jpg, The little girl is walking a beam in gymnastics class .
109656696.jpg, A little girl balances on a gymnastics beam .
109656696.jpg, A little girl is walking on a balance beam .
109823394.jpg, Three people on ATVs in a brown field turn their heads to look at the camera .
109823394.jpg, Three people ride their four wheelers through the field .
109823394.jpg, three people on four wheel ATV 's in a field .
109823394.jpg, Three people on ATV 's outside .
109823394.jpg, Three people drive ATVs .
1101291373.jpg, A man in sandals and white cardigan sits on a green bench while talking on his cellphone .
1101291373.jpg, A man with blue pants and a white shirt sitting on a bench talking on a cellphone .
1101291373.jpg, A bald man in flip-flops sits on a green bench and talks on a cellphone .
1101291373.jpg, A man sitting on a green bench talking on the telephone .
1101291373.jpg, A man on a green bench is talking on his cellphone .
110201971.jpg, Three men are riding on an elephant with a shack in the background and two of them are wearing hats .
110201971.jpg, Three guys riding on an elephant with a house-like structures and trees in the background .
110201971.jpg," Three young men are riding an elephant , sitting in what 's called a howdah ."
110201971.jpg, Three men seated on an elephant in a small village .
110201971.jpg, Two men and a shirtless boy are on an elephant .
110269384.jpg, A dark-haired woman in a green and white apron sits amid her outdoor display of flowers for sale on a city street .
110269384.jpg, A woman is sitting by her dried flower display at an outside market .
110269384.jpg, A woman sells flowers and incense at the market .
110269384.jpg, A lady is sitting down tending to her stand .
110269384.jpg, A woman in an apron shopping at a market .
1104087374.jpg," A couple is sitting on the sand with their feet in the water , and they are shaking hands ."
1104087374.jpg, A man and woman wearing sunglasses sit halfway in the water .
1104087374.jpg, A boy and a girl holding hands while sitting on a shore .
1104087374.jpg, A couple with sunglasses are laying on the beach .
1104087374.jpg, A blond holding hands with a guy in the sand .
1104133405.jpg, A boy wearing a white t-shirt walks on the grass and carries a soccer ball .
1104133405.jpg, A boy walks with a ball tucked under his arm .
1104133405.jpg, A boy walks with a soccer ball near a fence .
1104133405.jpg, Small boy carries a soccer ball on a field .
1104133405.jpg, A boy carrying a soccer ball .
110637863.jpg," A rugby game being played , one man in a green jersey is being lifted up by his teammates with the ball , while a competitor in a red jersey is similarly lifted to tackle him ."
110637863.jpg," A soccer player in a green uniform with a ball in is hands is being held up by some of his teammates , while an opposing player in red reaches for the ball ."
110637863.jpg," The green team lifts a player up in victory after a hard game , but will the red team interfere ?"
110637863.jpg, A soccer player in green is held high above his teammates and opponents in red .
110637863.jpg, Rugby player lifted to attempt a score against a red team defending .
110695011.jpg," A man wearing a black jacket and gray slacks , stands on the sidewalk holding a sheet with something printed on it in his hand ."
110695011.jpg, A man in a black jacket is standing with a group of people behind him .
110695011.jpg, A man in a black jacket is selling lottery tickets in the sidewalk .
110695011.jpg, Street vendors sell their wares to tourists .
110695011.jpg, Man stands holding a paper in a city .
1107507919.jpg," There is a woman and man wearing orange shirts , playing instruments with sheet paper in front of them ."
1107507919.jpg, A cello player is playing during a concert .
1107507919.jpg, A woman in a red shirt playing the cello .
1107507919.jpg, A female playing a song on her violin .
1107507919.jpg, A woman in a red shirt plays a cello .
111201721.jpg," A young boy in a yellow shirt is jumping in a grassy area with a younger boy , in a white shirt , standing behind him ."
111201721.jpg, A young boy in a white shirt is following his brother outside .
111201721.jpg, Two young children are walking through a wooded area .
111201721.jpg, Two children running with no shoes on .
111201721.jpg, Two young children playing outside .
1112212364.jpg, A toddler sitting on a pile of rocks holding a rock at a beach .
1112212364.jpg, A baby is sitting on and playing with smooth rocks .
1112212364.jpg, A baby is stacking rocks on the beach .
1112212364.jpg, A small boy is playing with rocks
1112212364.jpg, Toddler sits on a pile of rocks .
111390902.jpg, Two Asian men are riding on a motorcycle in the midst of a crowd full of other motorcycle riders .
111390902.jpg," Three young men , two riding a motorbike on a busy street , looking at something and smiling ."
111390902.jpg, Three oriental men are riding on a red moped scooter in the city with many people .
111390902.jpg, A group of motorcyclist are ridding through the streets .
111390902.jpg, Boys on a motor-scooter riding down a busy urban street .
1115565519.jpg, The little girl is playing with a toy in a public fountain .
1115565519.jpg, A little girl playing in water on a frog sculpture .
1115565519.jpg, A child playing with a fountain at the beach .
1115565519.jpg, A girl looks at a fountain that sprays water .
1115565519.jpg, A child plays with a fountain .
1119015538.jpg, A little tan dog with large ears running through the grass .
1119015538.jpg, this is a small beige dog running through a grassy field
1119015538.jpg, A small dogs ears stick up as it runs in the grass .
1119015538.jpg, A playful dog is running through the grass .
1119015538.jpg, The small dog is running across the lawn .
1119034454.jpg, A woman is jogging on a sidewalk next to an elevated grassy platform .
1119034454.jpg, A young woman in jogging suit running along the bank of a river .
1119034454.jpg, A jogger passes under an outstretched tree branch .
1119034454.jpg, A woman in a tight fitting outfit is running .
1119034454.jpg, A woman running along a river along a path .
111908743.jpg, A man in red pants balancing on a blue object with his hands
111908743.jpg, A man wearing red pants is balancing on a blue sculpture .
111908743.jpg, A man is raised up on his hands on a blue platform .
111908743.jpg, A man in red pants jumping on a park table .
111908743.jpg, An athlete leaping over an obstacle .
11214205.jpg, Men with reflective safety jackets on are working on a street intersection with many orange reflective cones .
11214205.jpg, Three construction workers in bright vests prepare road to be worked on .
11214205.jpg, Men wearing orange safety vest are working on street repairs .
11214205.jpg, A group of men in orange safety vests are working .
11214205.jpg, Three construction men are working .
112411540.jpg, Young man wearing a wear jacket is behind a counter in a jewelry store gazing off into the distance .
112411540.jpg, A young man in a gray jacket stands behind the counter of a jewelery store and smiles .
112411540.jpg, A man in an olive colored coat is standing in a jewelry store .
112411540.jpg, A pleasant young man working at a jewelry store .
112411540.jpg, A man is standing behind a counter in a shop .
1130369873.jpg, A brown dog swims through water outdoors with a tennis ball in its mouth .
1130369873.jpg," A red dog , holding a ball , splashes through vegetation filled water ."
1130369873.jpg, A brown dog is running through neck-deep water carrying a tennis ball .
1130369873.jpg, A brown dog splashes in the water while carrying a ball in its mouth .
1130369873.jpg," Brown dog with tennis ball in mouth , in water and bushes ."
1131889107.jpg, Roller derby girls waiting for the next round of action !
1131889107.jpg, A group of people getting ready to rollerskate
1131889107.jpg, A women 's roller derby team taking a break .
1131889107.jpg, Women wearing rollerskates sit on the floor .
1131889107.jpg, Some rollerskaters are sitting down .
11338041.jpg, People waiting to enter a white building through an entry way with an orange handwritten sign to the left of it .
11338041.jpg," Three people enter a building with a handwritten sign that says "" Welcome Bikers . """
11338041.jpg," A line of people wait to enter a building with a sign posted "" Welcome Bikers . """
11338041.jpg," A group of people enter a doorway next to a red sign reading "" WELCOME Bikers "" ."
11338041.jpg, A group of people entering a building .
114051287.jpg, A boy in a red soccer strip is holding his boots in his hand whilst stepping out of a car .
114051287.jpg, A young boy gets out of the van and prepares his shoes for wear during a soccer game .
114051287.jpg, A boy dressed in soccer attire and holding his shoes getting out of a car .
114051287.jpg, A child getting out of the car wearing soccer shoes .
114051287.jpg, A boy in glasses is wearing a red shirt .
1141643526.jpg," A group of people gather in a bar , and one man in a black shirt holds his arm and signals to the camera ."
1141643526.jpg," In a crowd of young people at a bar , a man stands displaying the rock and roll sign ."
1141643526.jpg," A man is making a "" rock "" gesture while standing on a stool in a crowded bar ."
1141643526.jpg, A single man in a black t-shirt standing above the crowd at a busy bar .
1141643526.jpg, People enjoying drinks in a crowded bar .
1141739219.jpg, A man is helping a girl step down from a colorful truck whilst a woman and three children watch .
1141739219.jpg, A very colorful bus is pulled off to the side of the road as its passengers load .
1141739219.jpg, A girl climbing down from the side of a bright blue truck while others watch .
1141739219.jpg, Two women and four children standing next to a brightly painted truck .
1141739219.jpg, A family gathered at a painted van
1142916102.jpg," A little girl , with long blond-hair and wearing a dress , looking at her refection in a puddle ."
1142916102.jpg, A young girl in a sundress and sandals looking at her reflection in a puddle .
1142916102.jpg, A young girl in a dress is looking at her reflection in a river bed .
1142916102.jpg, A little girl wearing a green dress is standing in front of puddle .
1142916102.jpg, A child looks at her reflection in a puddle of water .
114368470.jpg, A youth with long dirty blond-hair wearing a denim jacket and jeans looks at the conveyor belt of groceries while waiting at a checkout line .
114368470.jpg, Boy standing in line in a grocery store with his items on the conveyor belt .
114368470.jpg, A young girl and an older man are checking out at the food store .
114368470.jpg, A father and son at the checkout in a supermarket .
114368470.jpg, Young boy and an older man waiting to check out .
1143815134.jpg," A man and a woman , both wearing hiking gear , are standing on the edge of a large canyon ."
1143815134.jpg, Two people take in the scene as they stand together looking out over the canyon .
1143815134.jpg, Two travelers at the edge of a cliff overlooking the mountains .
1143815134.jpg, Man and woman standing at grand canyon looking out .
1143815134.jpg, Two people at cliff side overlooking Grand Canyon .
114410209.jpg, A person wearing a short-sleeved light blue shirt over a long-sleeved white shirt and blue jeans is holding a long-lensed camera to his face while standing next to a red colored railroad car .
114410209.jpg, A young man standing in front of a red freight car holding a camera and taking a photo .
114410209.jpg," A boy standing in front of a red box car , is taking a photo ."
114410209.jpg, Man photographing red railroad car with large camera lens .
114410209.jpg, Man with camera standing beside a train .
1145722716.jpg, Three male figures of different ages stand next to some rocks as they are dwarfed by a large upright wooden cross .
1145722716.jpg, Two young men clutch rags in their hands as a elderly man tells them how to clean the large cross .
1145722716.jpg, Two younger boys are standing in front of an older man in front of a large wooden cross .
1145722716.jpg, Two young men and an older man are standing in front of a big wooden cross .
1145722716.jpg, Two men listening intently to a local underneath a landmark .
1145781754.jpg, Four men with baseball caps and logo t-shirts laughing together at a table .
1145781754.jpg, Four men in white shirts and baseball caps sitting around a table .
1145781754.jpg," Four men in white T-shirts , blue jeans , and hats talking ."
1145781754.jpg, A group of friends converse around a table .
1145781754.jpg, A group of friends talk around a table .
1145810912.jpg, A boy works on a log that he is using for a project .
1145810912.jpg, A boy in a red and blue shirt painting a log .
1145810912.jpg, Child in red and blue shirt painting a log .
1145810912.jpg, A boy looking at a chopped log .
1145810912.jpg, A child using a woodworking tool
114722877.jpg," a man wearing a blue shirt , standing on the railroad is taking picture of the bridge ."
114722877.jpg, A man standing on a railroad track taking a picture of the water between two bridges .
114722877.jpg, A man standing on a railroad track looking through his binoculars at a river .
114722877.jpg, A woman is taking a photo of a bridge while standing on the train tracks .
114722877.jpg, A person standing on railroad tracks in front of two bridges .
114954667.jpg, An Elderly man crouches to lift the covering off the grill wear several shish kabab are grilling .
114954667.jpg, An older man in a blue paisley shirt looks at 7 shish kabobs on a small grill .
114954667.jpg, A man grills shish kabob on a small grill .
114954667.jpg, An old man is cooking his food .
114954667.jpg, A man checking food on a grill .
11536856.jpg, Two ladies are cooking & talking and two gentlemen are talking in the opposite site of the kitchen .
11536856.jpg, Two men and two women are preparing food and talking in a kitchen .
11536856.jpg, Two men and two women are preparing a large meal in the kitchen .
11536856.jpg, Four middle-aged people are preparing a meal in a kitchen .
11536856.jpg, An elderly woman places carrots into a casserole .
115684808.jpg, Three people are standing in the snow preparing an ice fishing boat .
115684808.jpg, Three men are setting up a sledge on a snowy plain .
115684808.jpg, Three people in the snow put their gear in order .
115684808.jpg, Three men loading items on a sled .
115684808.jpg, Three people and a sled .
1157215900.jpg," A woman in an outdoor marketplace , wearing a large cone shaped hat , standing behind two large baskets containing loaves of bread ."
1157215900.jpg, A woman in a hat is either selling or buying bread that is stacked in two different woven baskets .
1157215900.jpg, An older person sits on the street to sell their bread .
1157215900.jpg, A person is sitting behind two large baskets of bread .
1157215900.jpg, An older asian woman displaying bread for sale
1158897994.jpg, A man in a baseball cap cleans out a blue colored pit outside where colorful Christmas lights hang above him .
1158897994.jpg, A man in a baseball tee-shirt is sweeping what appears to be an empty pond in a festive looking backyard .
1158897994.jpg," A man is sweeping a large blue surface that has "" Rock Bowl "" written on it ."
1158897994.jpg, A man is sweeping the bottom of an empty shallow pool .
1158897994.jpg," Guy in a hat , he is cleaning out an empty pool ."
1160128934.jpg," Three children sit on the grass , one laying down , one in overalls smiling and one in green looking through a tote bag ."
1160128934.jpg, Several children are sitting on a blanket on the ground while one digs through a bag .
1160128934.jpg, Three small children On a blanket on the ground surrounded by people in wheelchairs .
1160128934.jpg," Three kids on a grass field , one of them searching for food in her mom 's purse ."
1160128934.jpg, Three children are sitting in the grass surrounded by their parents .
116021030.jpg, The man in the hooded sweatshirt is controlling the large machine .
116021030.jpg, A man with his jacket hood up sits on a machine .
116021030.jpg, A worker operates machinery on a cold day .
116021030.jpg, A black man operates an orange crane .
116021030.jpg, A man operates an orange crane .
116482438.jpg, An elderly woman sits in a chair with a book and smiles at the pretty flowers in her room .
116482438.jpg, An elderly woman sitting in a rocking chair with a blanket and book in her lap .
116482438.jpg, An older lady is sitting on a flower chair reading a book .
116482438.jpg, Old lady sitting in a room full of flowers .
116482438.jpg, A grandmother sitting in her room .
1167662968.jpg, closeup picture of a man with a nose ring and a brown shirt
1167662968.jpg, A teenage boy has a silver ring protruding from his nose .
1167662968.jpg, Young man with a nose ring and a hat .
1167662968.jpg, A man in a red cap with a nose ring .
1167662968.jpg, A guy with a nose piercing .
1169307342.jpg, A big brown dog plays with a smaller gray dog on the grass .
1169307342.jpg, The dark brown dog is playing with the light brown dog .
1169307342.jpg, Two dogs running and playing rough in the grass .
1169307342.jpg, Two brown dogs are running through the grass .
1169307342.jpg, Two brown dogs run side by side .
1172514641.jpg, Two people are standing on the slopes of a mountain and they have a dog with them .
1172514641.jpg," A man , his little son and their dog going for a walk in the mountains ."
1172514641.jpg, Two men and a white dog stand in a meadow near a steep hill .
1172514641.jpg, Two men and a dog are standing among rolling green hills .
1172514641.jpg, A father and son are enjoying wide open fields .
117478651.jpg, Closeup of man with glasses blowing a bubble gum bubble in a dimly lit room with a faint ceiling light in the background .
117478651.jpg, A balding man with glasses is blowing a bubble gum bubble in a dimly lit room .
117478651.jpg, A man wearing glasses is blowing a bubble out of bubble gum in a house .
117478651.jpg, A white male wearing glasses is blowing a bubble in a house .
117478651.jpg, A man in glasses is blowing a bubble with bubble gum .
1177949654.jpg," One black female and one white female plus three white males , all wearing forms of black , in front of a concrete stair structure with other people sitting on the stairs ."
1177949654.jpg, Several people are around the steps of a building performing many different activities while wearing white and black clothing .
